"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5153359",-121.46787934,38.5771453141,2011,"3404","0","6","3","10",0,1,"C","Y",,,,"Y",2400,5,"G","B","B","G ST","28TH ST",11,"W","N","2012-06-30",3404,"2011-05-14",2343,"8107","3B","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","F","B","H","-","C","D","0","Y","D","22",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5153931",-121.48705,38.56014,2011,"3404","0","5","4","-",0,1,"A","Y",,,,,2400,4,"A","B","B","BROADWAY","20TH ST",0,,"Y","2012-06-05",3404,"2011-04-01",2110,"8193",,"5","7","0","0",,"0","04A","-","N",,,0,,,0,,,,"N",2,"A","-",0,,"F","A","H","-","A","D","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5158465",-121.430189533,38.6347601748,2011,"3404","0","7","1","10",1,0,"C","Y",,,,"Y",300,5,"G","B","B","MARYSVILLE BL","ROANOKE AV",24,"N","N","2013-03-26",3404,"2011-05-15",108,"0430","2A","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"Y",3,"A","-",21950,"A","N","B","H","-","C","D","0","Y","A","07",0,0,0,1,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5165140",-121.498142627,38.5222785789,2011,"3404","0","5","3","10",0,1,"A","Y",,,,,1200,5,"G","B","B","CLAUDIA DR","FREEPORT BL",3,"W","N","2012-07-30",3404,"2011-05-20",1123,"0635","4","5","7","0","0",,"0","00B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","D","22",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5167469",-121.49563,38.58212,2011,"3404","0","1","3","10",0,1,"B","Y",,,,,900,4,"G","B","B","I ST","8TH ST",0,,"Y","2012-05-02",3404,"2011-04-25",750,"0420",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","D","22",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5173750",-121.45761,38.55444,2011,"3404","0","5","4","10",0,1,"A","Y",,,,,2100,4,"A","B","B","STOCKTON","SHERMAN WY",0,,"Y","2012-05-29",3404,"2011-04-08",1805,"3480",,"5","7","0","0",,"0","06B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","D","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5176370",-121.48117743,38.5566681085,2011,"3404","0","5","4","09",0,1,"A","Y",,,,,900,5,"G","B","B","25TH ST","1ST",5,"N","N","2012-07-16",3404,"2011-05-06",600,"8141",,"5","7","0","0",,"0","03A","-","N",,,0,,,0,,,,"N",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","-","99",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5176378",-121.50009,38.58209,2011,"3404","0","4","3","10",0,1,"A","Y",,,,,1500,5,"G","B","B","J ST","5TH ST",0,,"Y","2012-07-16",3404,"2011-05-05",1415,"0847",,"5","7","0","0",,"0","03M","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5177045",-121.41873,38.571,2011,"3404","0","5","4","12",0,1,"-","Y",,,,,1200,5,"G","B","B","FAIR OAKS BL","CAMPUS COMMONS RD",0,,"Y","2012-07-25",3404,"2011-05-13",1135,"8157",,"5","7","0","0",,"0","03C","-","N",,,0,,,0,,,,"N",2,"A","-",21453,"A","N","-","-","-","-","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5188771",-121.50009,38.58209,2011,"3404","0","4","4","10",0,1,"A","Y",,,,,1200,5,"G","B","B","J ST","5TH ST",0,,"Y","2012-07-20",3404,"2011-05-19",901,"0486",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5189327",-121.429329668,38.4600053865,2011,"3404","0","6","1","11",1,0,"A","Y",,,,"Y",2100,5,"G","B","B","CENTER PKWY","ARROYO VISTA DR",12,"N","N","2013-03-26",3404,"2011-05-07",2016,"0241",,"5","7","0","0",,"0","05B","-","N",,,0,,,0,,,,"Y",2,"A","-",21950,"B","N","A","H","-","B","D","0","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5204613",-121.42498,38.59844,2011,"3404","0","6","4","10",0,1,"A","Y",,,,,1200,5,"G","B","B","ARDEN WY","CHALLENGE WY",0,,"Y","2012-06-28",3404,"2011-05-07",1006,"350",,"5","7","0","0",,"0","02C","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5220010",-121.50112,38.57992,2011,"3404","0","5","3","10",0,1,"A","Y",,,,,2100,7,"G","B","B","15TH ST","L ST",0,,"Y","2012-11-30",3404,"2011-07-15",1812,"0655","3","5","7","0","0",,"0","00A","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5220877",-121.421063096,38.5105715999,2011,"3404","0","7","3","10",0,1,"A","Y",,,,,2400,7,"G","B","B","FALL RIVER WY","ELDER CREEK RD",6,"N","N","2012-11-30",3404,"2011-07-03",2329,"0259",,"5","7","0","0",,"0","06C","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","A","01",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
