"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5350219",-121.52363,38.49588,2011,"3404","0","3","4","00",0,1,"A","Y",,,,,1500,10,"G","B","B","FLORIN RD","GREENHAVEN DR",0,,"Y","2012-12-21",3404,"2011-10-05",1234,"0693",,"5","7","0","0",,"0","04C","-","N",,,0,,,0,,,,"N",2,"D","-",0,,"N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5352272",-121.5068,38.5667,2011,"3404","0","4","4","10",0,1,"A","Y",,,,,1500,8,"A","B","B","15TH ST","X ST",0,,"Y","2012-12-04",3404,"2011-08-11",1450,"3102",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5362526",-121.43316,38.62542,2011,"3404","0","2","4","11",0,1,"A","Y",,,,,1200,9,"G","B","B","MARYSVILLE BL","ARCADE BL",0,,"Y","2013-01-03",3404,"2011-09-13",1030,"0237","SACRA","5","7","0","0",,"0","02B","-","N",,,0,,,0,,,,"N",2,"A","-",21456,"B","N","A","H","-","A","A","0","Y","N","60",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5363857",-121.48047,38.57188,2011,"3404","0","2","4","-",0,1,"A","Y",,,,,900,8,"G","B","B","21ST ST","N ST",0,,"Y","2012-12-01",3404,"2011-08-09",816,"482",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",0,,"M","A","H","-","A","A","0","Y","D","22",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5366074",-121.42593309,38.4452215941,2011,"3404","0","4","3","10",0,1,"A","Y",,,,,1500,9,"G","B","B","CENTER PKWY","JACINTO AV",6,"N","N","2012-12-13",3404,"2011-09-15",1457,"0572","5","5","7","0","0",,"0","00C","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5367834",-121.468584467,38.5687313952,2011,"3404","0","3","2","10",0,1,"A","Y",,,,,1500,10,"G","B","B","N ST","30TH ST",24,"W","N","2012-12-19",3404,"2011-10-26",1225,"416","3C","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5379507",-121.48724,38.57002,2011,"3404","0","2","4","10",0,2,"A","Y",,,,,1800,11,"G","B","B","Q ST","17TH ST",0,,"Y","2013-01-30",3404,"2011-11-01",1605,"0644","3","5","7","0","0",,"0","00B","-","N",,,0,,,0,,,,"N",3,"A","-",21950,"A","F","A","H","-","A","D","0","Y","-","-",0,0,2,0,2,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5381371",-121.49769,38.57402,2011,"3404","0","3","3","10",0,2,"B","Y",,,,,2100,11,"G","B","B","9TH ST","P ST",0,,"Y","2013-02-04",3404,"2011-11-09",1857,"856","3","5","7","0","0",,"0","03A","-","N",,,0,,,0,,,,"N",3,"A","-",21950,"A","N","A","H","-","C","A","0","Y","A","01",0,2,0,0,2,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5392279",-121.47368,38.49588,2011,"3404","0","2","2","10",0,1,"A","Y",,,,,1800,11,"G","B","B","FLORIN RD","INDIAN LN",0,,"Y","2013-01-23",3404,"2011-11-01",1550,"0593",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5395779",-121.5061,38.57512,2011,"3404","0","5","4","10",0,1,"A","Y",,,,,1200,11,"G","B","B","3RD ST","Q ST",0,,"Y","2013-01-31",3404,"2011-11-18",1008,"0837",,"5","7","0","0",,"0","03A","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5406478",-121.438342426,38.5157537749,2011,"3404","0","1","3","10",0,1,"A","Y",,,,,1800,11,"G","B","B","STOCKTON BL","LEMON HILL AV",24,"S","N","2013-01-23",3404,"2011-11-14",1621,"740",,"5","7","0","0",,"0","06B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","F","-","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5407776",-121.44263,38.52504,2011,"3404","0","6","3","11",0,1,"A","Y",,,,"Y",1800,10,"G","B","B","FRUITRIDGE RD","STOCKTON BL",0,,"Y","2013-01-10",3404,"2011-10-29",1705,"421",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21453,"D","N","A","H","-","A","A","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5411737",-121.44263,38.52504,2011,"3404","0","5","4","11",0,1,"A","Y",,,,,900,12,"G","B","B","STOCKTON BL","FRUITRIDGE RD",0,,"Y","2013-04-16",3404,"2011-12-02",847,"850",,"5","7","0","0",,"0","06B","-","N",,,0,,,0,,,,"N",2,"A","-",21453,"D","N","A","H","-","A","A","0","Y","N","60",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5413027",-121.327914666,38.6732778185,2011,"3404","4","1","2","11",0,1,"A","Y",,,,,1500,10,"G","B","B","AUBURN BL","MANZANITA AV",7,"E","N","2013-01-11",9250,"2011-10-17",1257,"015866",,"1","7","0","2",,"1","021","-","N",,,0,,,0,,,,"N",2,"A","-",21456,"B","N","A","H","-","A","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5431129",-121.4733,38.55411,2011,"3404","0","3","2","10",0,1,"A","Y",,,,,1800,12,"G","B","B","2ND AV","ALHAMBRA BL",0,,"Y","2013-01-31",3404,"2011-12-21",1733,"0219","6A","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","C","A","0","Y","A","01",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5433607",-121.487225635,38.627505128,2011,"3404","0","5","2","10",0,1,"-","Y",,,,,600,12,"G","B","B","SAN JUAN AV","BRIDGEFORD DR",15,"W","N","2013-02-14",3404,"2011-12-16",551,"0860","1C","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","-","H","-","C","A","0","Y","A","01",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5438097",-121.538303127,38.6121651232,2011,"3404","0","1","4","10",0,1,"A","Y",,,,,2400,12,"G","B","B","EL CAMINO AV","RT 80",0,,"Y","2013-05-10",3404,"2011-12-19",2140,"781",,"5","7","0","0",,"0","02C","-","Y","SAC",3,80,"-","M",1.162,"R","1","E","N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","EF","SACRAMENTO","SACRAMENTO","CA",0,0
"5442271",-121.49613335,38.5810214945,2011,"3404","0","1","4","10",0,1,"A","Y",,,,,2100,12,"G","B","B","8TH ST","J ST",10,"N","N","2013-04-16",3404,"2011-12-19",1845,"0472","3","5","7","0","0",,"0","00M","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","-","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5445841",-121.437012805,38.4743427621,2011,"3404","0","4","4","10",0,1,"A","Y",,,,,2100,12,"D","B","B","CENTER PKWY","MACK RD",7,"N","N","2013-02-15",3404,"2011-12-15",1930,"0740",,"5","7","0","0",,"0","05B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5445861",-121.48749,38.58725,2011,"3404","0","7","4","10",0,1,"A","Y",,,,,900,12,"G","B","B","12TH ST","C ST",0,,"Y","2013-02-15",3404,"2011-12-25",624,"0850",,"5","7","0","0",,"0","03A","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
